officer_id,complaint_count
2848,7
3565,1
6158,1
264,2
2024,2
4718,2
3370,1
6873,1
2961,1
6122,1
4888,1
1101,2
6967,9
599,1
2247,1
4321,1
1820,1
4875,2
7477,1
7416,2
5161,2
3652,3
2148,5
2627,4
4996,4
5587,11
6295,1
5729,1
3322,1
1478,1
3367,1
1543,2
7003,3
1229,3
3715,1
2485,5
7080,1
2150,3
1726,2
2640,1
4722,2
4387,1
1116,3
3781,2
4057,1
786,1
4388,1
6953,1
5142,4
3924,5
7245,1
3142,2
1009,1
541,2
4198,1
5796,2
6960,1
7071,2
4845,1
3054,1
2210,1
4010,2
1065,1
252,1
5605,1
5080,1
537,3
6501,3
5099,8
2300,2
7214,1
4485,1
6418,1
4475,1
6772,1
958,1
17,1
325,1
3859,1
142,1
1999,2
5058,3
1333,6
6782,4
7215,5
4055,2
1783,1
3560,1
4667,1
3124,1
5561,1
914,1
4157,1
5684,1
5048,2
3510,2
4137,4
7300,1
7088,3
5329,1
296,10
6598,1
4910,1
3335,1
282,6
7448,4
6585,1
4105,1
2816,1
1389,2
1364,2
655,7
6991,3
5170,8
7430,3
2266,1
5656,1
1275,1
478,1
6170,1
3410,4
2038,1
3564,3
1606,1
7218,1
5506,5
2693,1
5409,1
1264,1
3242,1
4145,1
7463,2
4360,5
6210,7
4056,3
1374,1
2886,9
6602,1
3492,1
2363,7
7131,4
2270,1
7257,1
2522,2
2542,1
211,3
4787,2
7493,3
1963,4
3012,1
6964,1
15,5
6118,3
77,2
1800,1
6389,3
4976,1
56,1
1966,3
7169,3
2373,1
6714,4
6790,6
5865,10
3384,1
4291,1
2211,3
4449,3
6700,3
2112,1
2753,1
7150,1
3853,2
712,23
923,1
1910,4
4359,1
977,2
4189,2
2179,1
879,4
515,1
1427,1
4453,1
6298,1
1551,2
6407,1
5256,1
5610,3
4435,1
2729,3
165,1
7366,1
5838,1
21,6
3707,8
6247,1
570,2
5270,1
2968,1
3942,1
1049,1
7353,1
7342,2
7157,1
3912,6
6058,3
6056,1
7327,1
609,1
1242,4
7397,4
3029,1
2480,1
2153,2
6899,1
2692,1
7217,1
6768,1
2587,1
6337,1
6643,2
530,2
5821,3
5540,3
6031,2
653,2
3812,2
2677,1
1405,1
3458,2
7189,1
7219,17
2506,1
2362,1
3379,2
1475,1
3034,2
3249,2
5141,1
1978,1
6737,3
2719,3
3663,1
4487,2
6409,1
4300,6
7302,4
941,2
5240,3
2353,3
2625,1
3910,1
804,1
3900,4
5827,4
4347,1
1091,1
1018,1
2856,1
6468,5
3496,2
3237,4
1233,1
6945,1
4176,4
1812,4
928,2
4027,1
5147,1
6933,1
1733,1
3759,6
6171,3
2355,2
987,4
5921,1
2686,1
6613,1
3135,2
2262,1
4648,2
2669,1
6299,3
312,1
5989,1
470,1
6786,3
5376,1
2562,1
1213,1
4554,2
5002,1
4813,1
7374,3
7180,1
6651,3
2621,1
2073,1
99,2
1884,2
2105,1
4241,1
1322,1
1762,3
3681,1
4274,1
1588,1
2777,3
162,1
6042,3
4788,2
7360,1
4963,2
2445,1
1040,1
2528,9
4740,1
1624,2
6023,1
7198,1
1511,1
4063,1
6173,1
2922,1
5943,3
2940,1
2146,1
1492,2
5682,2
5981,1
1433,1
6381,2
5230,1
1979,2
3014,4
7490,1
4638,3
3293,1
3024,1
2878,1
5620,2
5668,1
4090,1
811,2
2313,2
4207,2
417,10
4672,1
605,1
6175,2
1240,1
3505,11
2291,2
3185,1
6014,2
6316,3
2756,1
1367,1
1770,1
1669,2
6728,1
3881,1
5766,2
4043,1
5547,2
7362,1
6240,1
5617,1
4307,6
3520,3
6752,1
968,1
6121,2
4378,1
5325,3
3437,3
2880,3
849,11
5209,1
764,1
5086,2
1004,2
6840,2
5512,4
6391,1
3559,1
4266,1
1905,3
973,1
7132,1
3423,1
6069,1
6168,2
2404,1
3009,4
6804,8
5136,3
5825,1
6820,2
7518,1
4004,1
3136,3
5599,1
591,1
7068,2
3630,1
6645,1
5332,1
1823,1
2487,3
4286,1
4823,2
6723,1
6944,1
3424,1
3222,1
1347,3
3412,1
2010,2
4824,1
4614,2
84,2
5491,3
6639,5
3047,1
6951,2
6823,1
4343,4
4825,2
7186,3
488,1
3138,1
6763,2
840,1
5896,6
6472,5
4596,7
1654,3
7083,1
766,4
7111,2
4540,1
3829,1
5441,1
680,1
4915,1
5095,3
2317,1
1643,4
115,2
6690,2
5831,1
1494,1
6989,3
6370,1
4920,7
1227,1
174,1
4940,2
1675,2
1566,1
2563,5
2604,3
5873,3
5467,2
222,1
92,1
7123,1
1255,3
1751,1
1170,1
44,3
4848,3
5109,2
3774,1
2383,1
7264,3
1196,1
4216,1
4077,1
6805,1
6591,4
2253,3
7143,1
6788,1
562,1
206,6
6983,3
6610,1
2131,2
5087,2
7066,1
1886,1
3843,1
981,1
5328,1
975,1
4187,1
3584,1
4329,1
668,1
4039,1
4050,1
4326,1
6238,2
124,1
1121,2
229,4
5834,1
415,2
7446,3
5052,1
3865,1
3442,1
6662,2
4040,1
6364,1
4645,3
2269,2
166,1
4240,5
3602,4
2892,1
1218,1
7415,2
1444,1
388,1
884,1
4277,3
7110,2
2820,2
6073,2
5840,2
4440,1
4592,1
6174,1
3765,2
3245,1
2377,1
1849,1
5413,1
6808,1
1192,4
1436,1
1360,3
5455,1
4715,1
4177,1
3469,1
5758,2
7334,1
657,4
6616,1
963,5
6405,3
5624,4
